Rule_ID,Antecedent_Items,Has_Continuous_Threshold,Threshold_Deltas,Test_Hit_N_Min,Test_Lift_Min,Test_Lift_Max,Test_Confidence_Min
R01,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,104.0,1.133913810206106,1.2892818082391542,0.7441860465116279
R02,VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,94.0,1.1770737404820195,1.2805535948371483,0.7725118483412322
R03,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,79.0,1.2303647008135439,1.350110984462175,0.8074866310160428
R04,FEATURE_Age_Over60||性别_GESCHL_3-男性,0,-0.2||-0.1||0.0||0.1||0.2,115.0,,,
R05,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,1,-0.2||-0.1||0.0||0.1||0.2,19.0,1.105609178129696,1.2029184335245697,0.725609756097561
R06,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,31.0,1.2392733017377566,1.3270906589206541,0.8133333333333334
R07,VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,17.0,1.02683906861735,1.2548090326177863,0.6739130434782609
R08,性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0,-0.2||-0.1||0.0||0.1||0.2,86.0,,,
R09,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,1,-0.2||-0.1||0.0||0.1||0.2,63.0,1.1004476040021063,1.1367260964417363,0.7222222222222222
R10,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,27.0,1.3120721432332807,1.4672634720028084,0.8611111111111112
R11,VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,46.0,1.1300750394944707,1.2587059550793323,0.7416666666666667
R12,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,1,-0.2||-0.1||0.0||0.1||0.2,34.0,1.2053123010539717,1.3892528575411205,0.7910447761194029
R13,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车长_LAENGE___GT_4598_5,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.0855521428716717,1.1427725118483412,0.7124463519313304
R14,VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0,1,-0.2||-0.1||0.0||0.1||0.2,7.0,0.9982840333387808,1.5236966824644549,0.6551724137931034
R15,VEH_意识到危险前的初始速度_V0___GT_50_0||公路分类_STRKL_1-公路以外的其他道路,1,-0.2||-0.1||0.0||0.1||0.2,42.0,1.0157977883096365,1.0883547731888963,0.6666666666666666
