Feature,Sanitized_Feature,Split,Lower_Bound,Upper_Bound,Below_Bound_N,Above_Bound_N,Extreme_Below_N,Extreme_Above_N,Min_Before_Clip,Max_Before_Clip,Used_In_Selected25,Used_In_Rule_Manifest,Used_In_Final_Rules,Used_In_Core_Or_Binary_Rules,Warning
身高(GROESP),身高_GROESP,Train,30.0,250.0,0,0,0,0,80.0,183.0,0,0,0,0,
身高(GROESP),身高_GROESP,Test,30.0,250.0,0,0,0,0,65.0,182.0,0,0,0,0,
身高估计(GROESPG),身高估计_GROESPG,Train,30.0,250.0,0,0,0,0,150.0,190.0,1,1,0,0,
身高估计(GROESPG),身高估计_GROESPG,Test,30.0,250.0,0,0,0,0,150.0,190.0,1,1,0,0,
体重(GEWP),体重_GEWP,Train,2.0,200.0,0,0,0,0,11.0,170.0,0,0,0,0,
体重(GEWP),体重_GEWP,Test,2.0,200.0,0,0,0,0,15.0,80.0,0,0,0,0,
体重估计(GEWPG),体重估计_GEWPG,Train,2.0,200.0,0,0,0,0,50.0,120.0,1,1,0,0,
体重估计(GEWPG),体重估计_GEWPG,Test,2.0,200.0,0,0,0,0,50.0,80.0,1,1,0,0,
年龄年数记录(ALTER1),年龄年数记录_ALTER1,Train,0.0,120.0,0,0,0,0,0.0,99.0,0,0,0,0,
年龄年数记录(ALTER1),年龄年数记录_ALTER1,Test,0.0,120.0,0,0,0,0,2.0,90.0,0,0,0,0,
FEATURE_Age_Years,FEATURE_Age_Years,Train,0.0,120.0,0,0,0,0,0.0,99.0,0,0,0,0,
FEATURE_Age_Years,FEATURE_Age_Years,Test,0.0,120.0,0,0,0,0,2.0,90.0,0,0,0,0,
温度(TEMP),温度_TEMP,Train,-50.0,60.0,0,0,0,0,2.0,40.0,0,0,0,0,
温度(TEMP),温度_TEMP,Test,-50.0,60.0,0,0,0,0,3.0,36.0,0,0,0,0,
路面附着系数(MUE),路面附着系数_MUE,Train,0.0,1.2,0,0,0,0,0.4,0.85,1,1,0,0,
路面附着系数(MUE),路面附着系数_MUE,Test,0.0,1.2,0,0,0,0,0.43,0.85,1,1,0,0,
VEH_车长(LAENGE),VEH_车长_LAENGE,Train,300.0,25000.0,0,1,0,1,418.0,38961660.0,1,1,1,0,extreme_value_in_final_rule_source
VEH_车长(LAENGE),VEH_车长_LAENGE,Test,300.0,25000.0,0,0,0,0,452.0,6995.0,1,1,1,0,
VEH_车宽(BREITE),VEH_车宽_BREITE,Train,500.0,3500.0,0,1,0,0,1200.0,4530.0,1,1,0,0,
VEH_车宽(BREITE),VEH_车宽_BREITE,Test,500.0,3500.0,1,0,1,0,179.0,2490.0,1,1,0,0,
VEH_车高(HOEHE),VEH_车高_HOEHE,Train,500.0,4500.0,0,3,0,1,1322.0,150031.0,1,1,1,0,extreme_value_in_final_rule_source
VEH_车高(HOEHE),VEH_车高_HOEHE,Test,500.0,4500.0,1,0,1,0,177.0,3090.0,1,1,1,0,extreme_value_in_final_rule_source
VEH_意识到危险前的初始速度(V0),VEH_意识到危险前的初始速度_V0,Train,0.0,250.0,0,0,0,0,0.0,140.0,1,1,1,1,
VEH_意识到危险前的初始速度(V0),VEH_意识到危险前的初始速度_V0,Test,0.0,250.0,0,0,0,0,0.0,107.0,1,1,1,1,
VEH_碰撞速度(VK),VEH_碰撞速度_VK,Train,0.0,250.0,0,0,0,0,0.0,130.0,1,1,1,1,
VEH_碰撞速度(VK),VEH_碰撞速度_VK,Test,0.0,250.0,0,0,0,0,0.0,107.0,1,1,1,1,
