Governance_Action_Domain,Linked_Mechanism_Axis,Highest_Evidence_Tier,Primary_Rule_IDs,Supplementary_Rule_IDs,Evidence_Strength_Label,Recommended_Manuscript_Use,Interpretation_Boundary
speed management and conflict-speed reduction,speed_energy,core-confirmed,R01,,priority governance target,can enter main result discussion,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
vulnerable-user-sensitive crossing protection,vulnerability_speed,core-confirmed,R06||R10,,priority governance target,can enter main result discussion,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
injury susceptibility stratification,vulnerability_body,no replay evidence,,,mechanism covered but not supported by current replay evidence,"no evidence: mechanism coverage only, not a result finding","Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
individual demographic risk stratification,vulnerability_demographic,binary-stable confirmed,R04,,stable categorical governance target,can enter main result discussion,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
demographic speed-risk stratification,vulnerability_demographic_speed,core-confirmed,R02||R03,,priority governance target,can enter main result discussion,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
road-space and channelization governance,road_speed_environment,replayable,,R15,audit-level governance cue,replayable: only as auditable governance cue,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
"vehicle geometry, blind-zone, and VRU protection design",vehicle_geometry_interaction,replayable,,R13||R14,audit-level governance cue,replayable: only as auditable governance cue,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
vehicle mass-speed energy audit signal,vehicle_mass_speed_energy,replayable,,R05||R07,audit-level governance cue,replayable: only as auditable governance cue,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
vehicle geometry and vulnerability stratification,vehicle_geometry_vulnerability,no replay evidence,,,mechanism covered but not supported by current replay evidence,"no evidence: mechanism coverage only, not a result finding","Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
lighting and visibility governance,lighting_visibility,core-confirmed,R08||R12,,priority governance target,can enter main result discussion,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
low-friction surface and adverse-weather governance,surface_weather_friction,no replay evidence,,,mechanism covered but not supported by current replay evidence,"no evidence: mechanism coverage only, not a result finding","Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
vehicle active-safety governance,safety_assistance,no replay evidence,,,mechanism covered but not supported by current replay evidence,"no evidence: mechanism coverage only, not a result finding","Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
crash-configuration-specific prevention,crash_configuration,replayable,,R09||R11,audit-level governance cue,replayable: only as auditable governance cue,"Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
cross-mechanism audit and case review,mixed_multimechanism,no replay evidence,,,mechanism covered but not supported by current replay evidence,"no evidence: mechanism coverage only, not a result finding","Reporting/governance translation only; does not modify rule selection, evidence tiers, thresholds, or primary manuscript rule set."
