Triplet_Rule_ID,Antecedent_Items,Bootstrap_Iterations,Bootstrap_Recurrent_N,Bootstrap_Recurrence
T01,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,200,200,1.0
T02,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,200,200,1.0
T03,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,200,200,1.0
T04,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,200,200,1.0
T05,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,200,200,1.0
T06,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,200,200,1.0
T07,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,200,200,1.0
T08,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,200,200,1.0
T09,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车长_LAENGE___GT_4598_5,200,200,1.0
T10,VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,200,200,1.0
T11,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,200,200,1.0
T12,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车宽_BREITE___GT_1800_0,200,200,1.0
T13,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,200,200,1.0
T14,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0,200,200,1.0
T15,VEH_碰撞速度_VK___GT_50_0||公路分类_STRKL_1-公路以外的其他道路||VEH_车高_HOEHE___GT_1495_0,200,200,1.0
T16,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||VEH_碰撞时的总重_GEWGES___GT_1497_5,200,199,0.995
T17,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞时的总重_GEWGES___GT_1497_5,200,200,1.0
T18,VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0||性别_GESCHL_3-男性,200,200,1.0
T19,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞前的制动距离_WEGV___GT_0_5,200,200,1.0
T20,VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,200,200,1.0
